Make,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
audi, A4,2017,Manual,14068,Petrol,145,51.4,1.4,17000
audi, A4,2017,Manual,23092,Petrol,145,52.3,1.4,14500
audi, Q3,2017,Automatic,30682,Diesel,160,50.4,2,17500
audi, A1,2016,Manual,18272,Petrol,0,67.3,1,10500
audi, Q2,2017,Automatic,23714,Diesel,145,68.9,1.6,14800
audi, A6,2016,Automatic,71311,Diesel,30,61.4,2,12000
audi, A6,2018,Automatic,29477,Diesel,145,61.4,2,22000
audi, Q5,2016,Automatic,60551,Diesel,200,47.1,2,17800
audi, A6,2017,Automatic,42071,Diesel,30,61.4,2,19800
audi, A7,2014,Automatic,55774,Diesel,235,44.8,3,19500
audi, A1,2016,Manual,36462,Diesel,0,76.3,1.6,9800
audi, A3,2016,Manual,25376,Petrol,30,57.6,1.4,15500
audi, A4,2017,Automatic,39388,Diesel,145,67.3,2,16800
audi, A3,2017,Manual,64207,Diesel,20,67.3,2,11500
audi, A1,2017,Manual,49221,Petrol,145,55.4,1.4,12100
audi, A1,2017,Manual,27179,Diesel,0,76.3,1.6,12700
audi, A4,2014,Manual,31376,Diesel,125,58.9,2,11700
audi, A5,2015,Automatic,62668,Diesel,145,53.3,2,11500
audi, A4,2017,Manual,10001,Petrol,145,51.4,1.4,17400
audi, A6,2016,Automatic,52544,Diesel,30,61.4,2,16000
audi, A4,2016,Manual,63097,Petrol,125,49.6,2,13100
audi, A6,2016,Manual,72967,Diesel,30,61.4,2,14700
audi, A5,2017,Automatic,32771,Diesel,145,70.6,2,21100
audi, Q3,2018,Automatic,13303,Petrol,145,40.4,2,24400
audi, A3,2019,Manual,2752,Petrol,145,44.8,1.5,18750
audi, Q3,2016,Manual,23307,Diesel,160,49.6,2,16500
audi, A1,2017,Manual,34551,Petrol,150,67.3,1,11000
audi, A3,2017,Manual,25457,Diesel,150,68.9,1.6,13400
audi, Q2,2018,Manual,12167,Petrol,150,50.4,1.4,20000
audi, A6,2015,Automatic,23237,Diesel,20,67.3,2,15400
audi, Q3,2016,Automatic,11863,Diesel,160,50.4,2,15500
audi, A4,2017,Manual,21225,Diesel,145,72.4,2,14800
audi, A6,2015,Automatic,32083,Diesel,30,61.4,2,17100
audi, Q5,2017,Automatic,17039,Diesel,145,55.4,2,25750
audi, A4,2016,Manual,72026,Diesel,0,74.3,2,11750
audi, A1,2017,Manual,34824,Petrol,0,67.3,1,11200
audi, A1,2017,Manual,20351,Petrol,30,55.4,1.4,12800
audi, A4,2017,Automatic,58028,Petrol,145,52.3,2,16000
audi, A5,2017,Automatic,44783,Diesel,145,62.8,2,20000
audi, A4,2014,Manual,60604,Diesel,20,67.3,2,11950
audi, A4,2013,Manual,39998,Diesel,30,65.7,2,9400
audi, A4,2017,Automatic,20852,Diesel,30,65.7,2,20000
audi, A6,2016,Manual,79728,Diesel,30,64.2,2,13300
audi, A6,2017,Automatic,29095,Diesel,20,64.2,2,18500
audi, A3,2013,Manual,98940,Diesel,0,74.3,1.6,8300
audi, A1,2016,Manual,22780,Petrol,30,58.9,1.4,13500
audi, A5,2018,Manual,20832,Petrol,150,47.1,2,19800
audi, Q3,2016,Automatic,29196,Diesel,145,55.4,2,15400
audi, A4,2017,Manual,14392,Petrol,145,53.3,1.4,13900
audi, A4,2018,Manual,20070,Petrol,145,52.3,1.4,15600
audi, A6,2016,Automatic,89334,Diesel,30,62.8,3,16200
audi, A1,2016,Manual,21428,Petrol,0,67.3,1,10600
audi, A4,2016,Manual,45485,Diesel,20,70.6,2,14300
audi, Q3,2016,Manual,32704,Diesel,30,60.1,2,14700
audi, Q3,2018,Automatic,42209,Petrol,145,42.2,2,19100
audi, A4,2017,Manual,17278,Petrol,145,48.7,1.4,18100
audi, A1,2017,Manual,29515,Petrol,0,67.3,1,11400
audi, A3,2014,Manual,43662,Diesel,20,67.3,2,11600
audi, A4,2017,Automatic,45225,Diesel,145,62.8,2,17300
audi, A6,2017,Manual,45491,Diesel,30,61.4,2,16400
audi, Q5,2014,Manual,52267,Petrol,235,37.7,2,17100
audi, A3,2014,Semi-Auto,40807,Petrol,125,50.4,1.8,11498
audi, Q3,2014,Manual,65959,Diesel,160,49.6,2,11698
audi, Q5,2014,Semi-Auto,47648,Petrol,260,35.8,2,18998
audi, Q5,2017,Semi-Auto,27948,Petrol,145,40.9,2,25498
audi, A4,2013,Manual,31169,Petrol,145,49.6,1.8,10498
audi, A4,2013,Automatic,42011,Petrol,145,47.1,2,9498
audi, A6,2015,Semi-Auto,56115,Diesel,160,50.4,3,19998
audi, A6,2015,Semi-Auto,65835,Diesel,125,61.4,2,16798
audi, A6,2017,Semi-Auto,63383,Diesel,145,45.6,3,23998
audi, Q5,2017,Semi-Auto,34011,Petrol,145,34,3,36998
audi, A5,2014,Semi-Auto,52132,Diesel,160,49.6,3,13998
audi, A4,2015,Manual,38787,Diesel,145,55.4,2,15995
audi, A1,2017,Manual,34554,Petrol,150,55.4,1.4,13495
audi, Q5,2017,Semi-Auto,17502,Petrol,145,40.4,2,30985
audi, TT,2019,Automatic,3000,Petrol,145,40.9,2,29485
audi, A6,2015,Manual,34646,Diesel,30,61.4,2,16985
audi, Q5,2017,Semi-Auto,18000,Diesel,150,56.5,2,26485
audi, Q3,2018,Semi-Auto,17085,Petrol,150,47.9,1.4,23985
audi, A1,2017,Manual,48166,Diesel,20,72.4,1.6,12485
audi, Q5,2015,Semi-Auto,38421,Diesel,205,47.1,2,22485
audi, A5,2015,Manual,46637,Diesel,30,61.4,2,16498
audi, A3,2016,Manual,24468,Diesel,0,74.3,1.6,11998
audi, Q5,2017,Automatic,29343,Diesel,200,47.1,2,24985
audi, A3,2019,Manual,8449,Diesel,145,51.4,1.6,17985
audi, A5,2017,Manual,34679,Diesel,30,65.7,2,20485
audi, A3,2018,Semi-Auto,23860,Petrol,145,60.1,1,16985
audi, A4,2018,Automatic,21009,Petrol,145,35.8,3,30985
audi, A6,2019,Automatic,1881,Diesel,145,47.9,2,29985
audi, A6,2019,Semi-Auto,688,Diesel,145,47.9,2,27985
audi, A6,2019,Automatic,1863,Diesel,145,47.9,2,30985
audi, Q7,2020,Semi-Auto,10,Diesel,145,33.2,3,62985
audi, RS6,2016,Semi-Auto,49050,Petrol,325,29.4,4,44985
audi, A4,2019,Semi-Auto,1024,Petrol,145,38.7,2,28985
audi, A4,2019,Semi-Auto,448,Petrol,145,39.8,2,24985
audi, A4,2019,Semi-Auto,476,Petrol,145,39.2,2,26985
audi, A7,2019,Automatic,5201,Diesel,145,38.7,3,39985
audi, A3,2019,Semi-Auto,2028,Petrol,145,42.2,1.5,21985
audi, A6,2019,Automatic,3241,Diesel,145,39.2,3,45485
audi, Q5,2019,Automatic,355,Diesel,145,39.2,2,33985
audi, A5,2019,Automatic,18,Petrol,145,39.8,2,28985
audi, A3,2019,Automatic,3122,Petrol,145,41.5,1.5,29985
audi, Q2,2019,Manual,824,Petrol,145,40.9,1.5,28985
audi, A6,2019,Semi-Auto,2811,Diesel,145,47.9,2,31985
audi, A6,2019,Semi-Auto,27,Diesel,145,50.4,2,31985
audi, A4,2019,Semi-Auto,4254,Petrol,145,38.2,2,29485
audi, A1,2019,Semi-Auto,2252,Petrol,145,48.7,1,17985
audi, Q2,2019,Automatic,3422,Diesel,145,47.9,1.6,20985
audi, Q2,2019,Automatic,37,Diesel,145,47.9,1.6,23685
audi, A4,2019,Semi-Auto,7299,Petrol,145,38.2,2,27985
audi, Q2,2019,Semi-Auto,1414,Petrol,145,40.9,1.5,27985
audi, Q5,2019,Automatic,5135,Diesel,145,38.2,2,36985
audi, Q5,2019,Automatic,6024,Diesel,145,38.2,2,37985
audi, Q5,2020,Semi-Auto,10,Petrol,145,32.1,2,37985
audi, Q7,2019,Automatic,10,Diesel,145,33.2,3,49985
audi, Q7,2019,Automatic,10,Diesel,145,33.2,3,59995
audi, Q5,2020,Semi-Auto,10,Petrol,145,30.7,2,47895
audi, A4,2020,Semi-Auto,10,Petrol,145,42.2,2,31985
audi, Q7,2015,Automatic,47606,Diesel,200,47.9,3,29985
audi, A1,2015,Semi-Auto,26625,Petrol,30,57.6,1.4,12485
audi, A5,2018,Automatic,5071,Petrol,145,50.4,2,24985
audi, A5,2015,Semi-Auto,28011,Petrol,260,34.9,3,21985
audi, Q3,2019,Automatic,10,Diesel,145,47.1,2,34985
audi, A5,2019,Automatic,10,Diesel,145,51.4,2,29985
audi, Q3,2019,Automatic,10,Diesel,145,47.1,2,34485
audi, A1,2019,Manual,10,Petrol,145,49.6,1,19685
audi, A4,2019,Automatic,10,Diesel,145,53.3,2,34985
audi, A7,2019,Semi-Auto,10,Diesel,145,38.2,3,43885
audi, A6,2019,Automatic,2000,Diesel,145,47.9,2,35895
audi, Q2,2019,Automatic,10,Petrol,145,43.5,1.5,26985
audi, A6,2019,Automatic,3510,Diesel,145,36.2,3,46985
audi, A3,2019,Automatic,10,Petrol,145,44.8,1.5,23985
audi, A5,2019,Automatic,10,Petrol,145,39.8,2,28985
audi, A5,2019,Automatic,1010,Petrol,145,39.8,2,27985
audi, A6,2019,Semi-Auto,500,Diesel,145,47.9,2,28985
audi, A4,2019,Automatic,10,Petrol,145,42.8,2,29985
audi, A3,2019,Manual,10,Diesel,145,54.3,1.6,21995
audi, A5,2019,Automatic,10,Petrol,145,39.8,2,31985
audi, A5,2019,Automatic,10,Diesel,145,51.4,2,32485
audi, A3,2019,Manual,10,Diesel,145,51.4,1.6,21285
audi, Q7,2019,Automatic,1510,Diesel,145,33.2,3,56985
audi, RS3,2019,Semi-Auto,10,Petrol,145,30.1,2.5,43785
audi, A4,2016,Semi-Auto,29845,Petrol,160,45.6,2,18498
audi, A3,2014,Semi-Auto,27355,Petrol,160,42.8,1.8,14995
audi, A4,2016,Manual,20885,Diesel,30,64.2,2,17998
audi, A3,2014,Automatic,10534,Petrol,30,56.5,1.2,10985
audi, A3,2016,Manual,25895,Diesel,20,70.6,2,12995
audi, A1,2016,Manual,32867,Petrol,0,67.3,1,11495
audi, Q5,2015,Semi-Auto,42793,Diesel,205,47.1,2,18295
audi, A6,2015,Semi-Auto,49039,Diesel,160,50.4,3,18998
audi, Q2,2017,Manual,22501,Diesel,145,64.2,1.6,18485
audi, A8,2017,Automatic,1420,Diesel,145,50.4,3,38985
audi, A5,2019,Automatic,10,Petrol,145,40.4,2,29485
audi, A5,2017,Semi-Auto,26939,Diesel,145,62.8,2,22998
audi, A8,2014,Semi-Auto,24786,Diesel,205,47.9,3,18998
audi, A4,2017,Manual,18761,Petrol,145,51.4,1.4,17698
audi, A5,2019,Automatic,10,Petrol,145,40.4,2,27995
audi, Q3,2019,Manual,10,Diesel,145,42.8,2,31985
audi, A4,2019,Automatic,10,Petrol,145,38.7,2,30995
audi, A3,2017,Semi-Auto,22295,Petrol,30,56.5,1.4,18998
audi, Q2,2017,Manual,18068,Petrol,145,52.3,1.4,16995
audi, A3,2018,Manual,25000,Petrol,150,42.2,1.5,19995
audi, Q2,2017,Manual,23043,Petrol,150,55.4,1,14495
audi, A5,2014,Semi-Auto,80902,Diesel,125,60.1,2,12998
audi, A4,2019,Automatic,10,Diesel,145,50.4,2,32485
audi, A1,2019,Manual,10,Petrol,145,48.7,1,20485
audi, Q3,2019,Automatic,10,Diesel,145,47.1,2,34485
audi, Q3,2016,Manual,26474,Diesel,145,52.3,2,18698
audi, Q5,2013,Semi-Auto,65458,Diesel,235,44.1,3,15998
audi, TT,2018,Manual,34170,Petrol,150,47.1,1.8,16498
audi, Q5,2019,Semi-Auto,100,Petrol,145,33.2,2,31998
audi, Q3,2019,Automatic,650,Diesel,145,47.1,2,35985
audi, Q5,2019,Automatic,10,Diesel,145,38.2,2,37985
audi, Q5,2019,Semi-Auto,10,Petrol,145,33.2,2,31998
audi, A4,2019,Manual,2928,Petrol,145,41.5,2,18998
audi, Q3,2018,Manual,7157,Petrol,145,51.4,1.4,19485
audi, Q3,2016,Semi-Auto,31600,Diesel,160,50.4,2,19995
audi, Q7,2016,Semi-Auto,46600,Diesel,300,39.2,4,47995
audi, A3,2019,Manual,10,Diesel,145,56.5,2,23485
audi, A5,2018,Semi-Auto,14078,Petrol,145,45.6,2,23998
audi, A5,2015,Manual,13312,Diesel,125,57.6,2,17998
audi, A6,2018,Semi-Auto,10,Diesel,145,50.4,2,28985
audi, RS6,2015,Semi-Auto,20982,Petrol,325,29.4,4,46000
audi, A6,2018,Semi-Auto,15600,Diesel,145,50.4,2,26995
audi, A6,2019,Automatic,5429,Diesel,145,47.9,2,33985
audi, Q2,2019,Automatic,2710,Petrol,145,40.9,1.5,30985
audi, Q7,2019,Automatic,6423,Diesel,145,33.2,3,52985
audi, A1,2017,Manual,11017,Petrol,150,67.3,1,12698
audi, Q3,2017,Manual,16908,Petrol,125,51.4,1.4,17298
audi, A4,2017,Manual,28801,Petrol,125,49.6,2,16498
audi, A4,2017,Manual,23362,Petrol,145,50.4,1.4,16798
audi, Q5,2013,Manual,50025,Petrol,235,37.7,2,15998
audi, Q8,2018,Semi-Auto,8450,Diesel,145,32.8,3,63985
audi, A6,2018,Semi-Auto,1790,Diesel,145,50.4,2,27985
audi, A4,2018,Semi-Auto,10,Petrol,145,53.3,1.4,19485
audi, A4,2018,Manual,10,Petrol,145,52.3,1.4,20985
audi, A3,2018,Automatic,6754,Diesel,145,52.3,1.6,22285
audi, Q3,2014,Semi-Auto,35423,Diesel,200,47.9,2,14500
audi, A3,2017,Semi-Auto,16703,Petrol,200,41.5,2,25000
audi, Q3,2017,Manual,37203,Petrol,125,51.4,1.4,15800
audi, A3,2013,Semi-Auto,44405,Diesel,125,58.9,2,13500
audi, Q3,2014,Manual,79389,Diesel,165,50.4,2,12000
audi, A3,2015,Semi-Auto,61808,Diesel,125,57.6,2,13800
audi, A1,2016,Manual,10491,Petrol,0,67.3,1,11000
audi, A3,2018,Manual,19000,Petrol,150,49.6,2,19995
audi, A1,2016,Manual,18900,Petrol,0,67.3,1,11650
audi, A3,2014,Manual,50900,Diesel,20,68.9,2,11850
audi, A6,2013,Manual,49000,Diesel,325,29.7,2,12495
audi, A1,2015,Manual,23081,Petrol,235,39.8,2,15995
audi, Q7,2020,Semi-Auto,826,Diesel,145,29.4,4,82995
audi, A4,2019,Semi-Auto,5987,Petrol,145,38.2,2,25990
audi, A6,2019,Semi-Auto,2977,Diesel,145,47.9,2,30995
audi, Q5,2019,Automatic,7573,Diesel,145,39.2,2,34985
audi, Q3,2019,Manual,3055,Diesel,145,42.8,2,31995
audi, A4,2019,Automatic,22,Petrol,145,38.7,2,29985
audi, A4,2019,Automatic,2250,Diesel,145,51.4,2,28485
audi, Q5,2016,Semi-Auto,20547,Diesel,200,47.1,2,21498
audi, Q5,2019,Automatic,10,Diesel,145,39.2,2,32895
audi, A5,2016,Semi-Auto,18828,Petrol,260,35.8,3,22998
audi, Q5,2019,Semi-Auto,28,Petrol,145,32.1,2,35998
audi, Q7,2016,Automatic,38654,Diesel,200,47.9,3,29985
audi, A3,2014,Manual,25764,Petrol,200,40.4,2,16485
audi, TT,2016,Manual,28402,Diesel,30,62.8,2,19485
audi, A1,2015,Manual,17152,Petrol,30,56.5,1.4,13495
audi, A3,2016,Manual,29775,Petrol,20,60.1,1.4,14995
audi, Q5,2017,Semi-Auto,7801,Petrol,145,34,3,39995
audi, Q5,2015,Semi-Auto,60599,Diesel,240,42.8,3,22990
audi, A1,2017,Manual,20670,Petrol,30,57.6,1.4,12495
audi, A3,2019,Automatic,2257,Diesel,145,52.3,1.6,24985
audi, A3,2019,Manual,4039,Diesel,145,51.4,1.6,24485
audi, A3,2016,Manual,21241,Petrol,125,52.3,1.4,16485
audi, Q3,2016,Manual,16945,Diesel,160,49.6,2,20485
audi, A4,2018,Automatic,18010,Petrol,145,49.6,1.4,24985
audi, A4,2017,Semi-Auto,29653,Diesel,145,62.8,2,19995
audi, A5,2014,Semi-Auto,75159,Petrol,260,34.9,3,16000
audi, Q3,2014,Semi-Auto,33842,Diesel,200,47.9,2,14998
audi, A3,2015,Manual,42977,Diesel,20,67.3,2,13995
audi, A4,2019,Semi-Auto,26,Diesel,145,47.9,2,27990
audi, A1,2016,Manual,17454,Petrol,0,67.3,1,11995
audi, A3,2018,Manual,17547,Petrol,150,56.5,1.5,15995
audi, A3,2020,Semi-Auto,314,Petrol,150,34.9,2,35995
audi, A1,2016,Manual,25010,Petrol,30,58.9,1.4,13585
audi, A6,2019,Semi-Auto,3278,Diesel,145,47.9,2,31985
audi, A7,2019,Automatic,1285,Diesel,145,39.2,3,32985
audi, A6,2019,Automatic,4445,Diesel,145,47.9,2,30985
audi, A4,2020,Semi-Auto,6998,Petrol,145,38.2,2,34798
audi, A4,2020,Semi-Auto,6746,Diesel,145,45.6,2,40780
audi, Q7,2015,Semi-Auto,21245,Diesel,205,47.9,3,34995
audi, A4,2017,Manual,27394,Diesel,30,64.2,2,18995
audi, A1,2016,Manual,29283,Petrol,0,67.3,1,12995
audi, A1,2016,Manual,20905,Petrol,30,56.5,1.4,14495
audi, A1,2017,Manual,24386,Petrol,0,67.3,1,12995
audi, TT,2017,Semi-Auto,11621,Petrol,150,42.8,2,24995
audi, A3,2019,Semi-Auto,3409,Petrol,145,43.5,1.5,20985
audi, Q5,2016,Semi-Auto,30172,Diesel,240,42.2,3,31995
audi, A4,2015,Manual,27016,Diesel,30,62.8,2,13995
audi, A4,2020,Manual,7456,Petrol,145,40.9,2,31985
audi, A6,2019,Semi-Auto,20,Diesel,145,55.4,3,29490
audi, A4,2019,Semi-Auto,4781,Petrol,150,40.9,2,20495
audi, Q3,2016,Semi-Auto,40254,Petrol,205,40.4,2,21995
audi, TT,2019,Semi-Auto,12320,Petrol,150,40.9,2,24995
audi, Q2,2018,Manual,16534,Petrol,150,49.6,1.4,23995
audi, Q3,2017,Semi-Auto,20075,Petrol,150,42.2,2,22995
audi, A3,2016,Manual,14401,Petrol,20,60.1,1,15995
audi, A3,2016,Semi-Auto,19430,Petrol,145,47.9,2,19995
audi, RS4,2013,Semi-Auto,28359,Petrol,565,26.4,4.2,26995
audi, Q8,2019,Semi-Auto,16385,Diesel,150,33.6,3,49995
audi, A1,2014,Manual,24764,Diesel,0,74.3,1.6,11995
audi, A1,2014,Manual,26141,Petrol,125,53.3,1.4,11995
audi, A5,2020,Semi-Auto,7532,Petrol,145,39.2,2,37331
audi, A5,2020,Semi-Auto,7925,Diesel,145,45.6,2,39454
audi, A5,2020,Semi-Auto,7639,Petrol,145,39.8,2,37507
audi, Q3,2020,Semi-Auto,7914,Diesel,145,48.7,2,33462
audi, Q5,2018,Semi-Auto,15706,Petrol,145,40.4,2,30995
audi, A4,2019,Manual,4598,Petrol,145,38.2,2,25990
audi, A8,2018,Semi-Auto,6588,Diesel,145,48.7,3,38995
audi, Q7,2016,Semi-Auto,48248,Diesel,205,47.9,3,31995
audi, A3,2019,Semi-Auto,4549,Petrol,150,34.5,2,30995
audi, A1,2019,Manual,7564,Petrol,145,51.4,1,18995
audi, A8,2018,Semi-Auto,11276,Diesel,145,48.7,3,41995
audi, A4,2016,Manual,20141,Diesel,30,67.3,2,19995
audi, A3,2016,Manual,16555,Petrol,20,60.1,1.4,16995
audi, A1,2017,Manual,8608,Petrol,145,67.3,1,14495
audi, Q3,2017,Manual,18380,Petrol,145,49.6,1.4,19995
audi, Q3,2017,Semi-Auto,27136,Petrol,145,40.4,2,23995
audi, A3,2016,Manual,36409,Petrol,20,60.1,1.4,13995
audi, A6,2017,Semi-Auto,35219,Diesel,150,50.4,3,27995
audi, Q5,2018,Semi-Auto,10252,Petrol,150,40.4,2,33995
audi, A3,2018,Manual,16380,Diesel,145,67.3,1.6,17490
audi, A3,2015,Semi-Auto,30530,Diesel,30,64.2,2,14990
audi, Q5,2016,Semi-Auto,37129,Diesel,235,42.2,3,30995
audi, A3,2017,Manual,36400,Petrol,20,61.4,1.4,13995
audi, Q7,2018,Semi-Auto,8618,Diesel,145,32.8,3,47995
audi, Q2,2018,Manual,9634,Petrol,145,50.4,1.4,21995
audi, Q2,2017,Semi-Auto,18355,Diesel,145,68.9,1.6,19995
audi, Q5,2017,Semi-Auto,28604,Petrol,145,40.9,2,26995
audi, A1,2017,Manual,15187,Diesel,145,76.3,1.6,15995
audi, A5,2015,Semi-Auto,43417,Diesel,160,50.4,2,18990
audi, A8,2018,Semi-Auto,12195,Diesel,145,50.4,3,35995
audi, A5,2018,Semi-Auto,12686,Diesel,145,58.9,3,27995
